Fold 1
Train size: 6820 | Val size: 1705
Zero-shot Val Acc: 0.0156
Epoch 1, EMA ACC: 0.4190, Time: 110.59s
New best EMA model saved with val acc: 0.4190
Epoch 2, EMA ACC: 0.8628, Time: 110.31s
New best EMA model saved with val acc: 0.8628
Epoch 3, EMA ACC: 0.8883, Time: 110.18s
New best EMA model saved with val acc: 0.8883
Epoch 4, EMA ACC: 0.8912, Time: 110.21s
New best EMA model saved with val acc: 0.8912
Epoch 5, EMA ACC: 0.8634, Time: 110.08s
Epoch 6, EMA ACC: 0.8733, Time: 110.40s
Epoch 7, EMA ACC: 0.8709, Time: 110.30s
Epoch 8, EMA ACC: 0.8553, Time: 110.32s
Epoch 9, EMA ACC: 0.8657, Time: 110.45s
Epoch 10, EMA ACC: 0.8571, Time: 110.31s
Epoch 11, EMA ACC: 0.8507, Time: 110.32s
Epoch 12, EMA ACC: 0.8559, Time: 110.37s
Epoch 13, EMA ACC: 0.8443, Time: 110.30s
Epoch 14, EMA ACC: 0.8478, Time: 110.32s
Epoch 15, EMA ACC: 0.8513, Time: 110.62s
Epoch 16, EMA ACC: 0.8513, Time: 110.63s
Epoch 17, EMA ACC: 0.8495, Time: 110.37s
Epoch 18, EMA ACC: 0.8640, Time: 110.29s
Epoch 19, EMA ACC: 0.8681, Time: 110.30s
Epoch 20, EMA ACC: 0.8686, Time: 110.36s
Epoch 21, EMA ACC: 0.8588, Time: 110.45s
Epoch 22, EMA ACC: 0.8553, Time: 110.33s
Epoch 23, EMA ACC: 0.8553, Time: 110.38s
Epoch 24, EMA ACC: 0.8663, Time: 110.32s
Epoch 25, EMA ACC: 0.8576, Time: 110.30s
Epoch 26, EMA ACC: 0.8640, Time: 110.34s
Epoch 27, EMA ACC: 0.8553, Time: 110.34s
Epoch 28, EMA ACC: 0.8536, Time: 110.35s
Epoch 29, EMA ACC: 0.8773, Time: 110.36s
Epoch 30, EMA ACC: 0.8733, Time: 110.22s
Epoch 31, EMA ACC: 0.8721, Time: 110.29s
Epoch 32, EMA ACC: 0.8663, Time: 110.35s
Epoch 33, EMA ACC: 0.8657, Time: 110.41s
Epoch 34, EMA ACC: 0.8767, Time: 110.34s
Epoch 35, EMA ACC: 0.8657, Time: 110.38s
Epoch 36, EMA ACC: 0.8686, Time: 110.35s
Epoch 37, EMA ACC: 0.8704, Time: 110.32s
Epoch 38, EMA ACC: 0.8692, Time: 110.51s
Epoch 39, EMA ACC: 0.8663, Time: 110.35s
Epoch 40, EMA ACC: 0.8721, Time: 110.34s
Epoch 41, EMA ACC: 0.8698, Time: 110.37s
Epoch 42, EMA ACC: 0.8791, Time: 110.42s
Epoch 43, EMA ACC: 0.8727, Time: 110.37s
Epoch 44, EMA ACC: 0.8675, Time: 110.53s
Epoch 45, EMA ACC: 0.8825, Time: 110.42s
Epoch 46, EMA ACC: 0.8646, Time: 110.45s
Epoch 47, EMA ACC: 0.8709, Time: 110.54s
Epoch 48, EMA ACC: 0.8779, Time: 110.49s
Epoch 49, EMA ACC: 0.8744, Time: 110.51s
Epoch 50, EMA ACC: 0.8773, Time: 110.61s
Epoch 51, EMA ACC: 0.8686, Time: 110.51s
Epoch 52, EMA ACC: 0.8681, Time: 110.51s
Epoch 53, EMA ACC: 0.8657, Time: 110.51s
Epoch 54, EMA ACC: 0.8686, Time: 110.49s
Epoch 55, EMA ACC: 0.8756, Time: 110.54s
Epoch 56, EMA ACC: 0.8715, Time: 110.52s
Epoch 57, EMA ACC: 0.8872, Time: 110.62s
Epoch 58, EMA ACC: 0.8791, Time: 110.53s
Epoch 59, EMA ACC: 0.8825, Time: 110.50s
Epoch 60, EMA ACC: 0.8704, Time: 110.58s
Epoch 61, EMA ACC: 0.8819, Time: 110.53s
Epoch 62, EMA ACC: 0.8912, Time: 110.64s
Epoch 63, EMA ACC: 0.8762, Time: 110.49s
Epoch 64, EMA ACC: 0.8837, Time: 110.52s
Epoch 65, EMA ACC: 0.8877, Time: 110.43s
Epoch 66, EMA ACC: 0.8883, Time: 110.51s
Epoch 67, EMA ACC: 0.8808, Time: 110.52s
Epoch 68, EMA ACC: 0.8808, Time: 110.50s
Epoch 69, EMA ACC: 0.8802, Time: 110.41s
Epoch 70, EMA ACC: 0.8825, Time: 110.50s
Epoch 71, EMA ACC: 0.8883, Time: 110.54s
Epoch 72, EMA ACC: 0.8825, Time: 110.54s
Epoch 73, EMA ACC: 0.8756, Time: 110.52s
Epoch 74, EMA ACC: 0.8750, Time: 110.49s
Epoch 75, EMA ACC: 0.8860, Time: 110.45s
Epoch 76, EMA ACC: 0.8872, Time: 110.53s
Epoch 77, EMA ACC: 0.8906, Time: 110.51s
Epoch 78, EMA ACC: 0.8854, Time: 110.47s
Epoch 79, EMA ACC: 0.8854, Time: 110.47s
Epoch 80, EMA ACC: 0.8848, Time: 110.41s
Epoch 81, EMA ACC: 0.8837, Time: 110.58s
Epoch 82, EMA ACC: 0.8796, Time: 110.46s
Epoch 83, EMA ACC: 0.8814, Time: 110.68s
Epoch 84, EMA ACC: 0.8808, Time: 110.54s
Epoch 85, EMA ACC: 0.8819, Time: 110.61s
Epoch 86, EMA ACC: 0.8767, Time: 110.47s
Epoch 87, EMA ACC: 0.8819, Time: 110.61s
Epoch 88, EMA ACC: 0.8814, Time: 110.48s
Epoch 89, EMA ACC: 0.8750, Time: 110.47s
Epoch 90, EMA ACC: 0.8895, Time: 110.51s
Epoch 91, EMA ACC: 0.8848, Time: 110.56s
Epoch 92, EMA ACC: 0.8802, Time: 110.42s
Epoch 93, EMA ACC: 0.8785, Time: 110.43s
Epoch 94, EMA ACC: 0.8872, Time: 110.61s
Epoch 95, EMA ACC: 0.8773, Time: 110.42s
Epoch 96, EMA ACC: 0.8872, Time: 110.47s
Epoch 97, EMA ACC: 0.8819, Time: 110.61s
Epoch 98, EMA ACC: 0.8837, Time: 110.50s
Epoch 99, EMA ACC: 0.8924, Time: 110.58s
New best EMA model saved with val acc: 0.8924
Epoch 100, EMA ACC: 0.8819, Time: 110.45s
