Fold 1
Train size: 6820 | Val size: 1705
Zero-shot Val Acc: 0.9144
Epoch 1, EMA ACC: 0.9196, Time: 332.68s
New best EMA model saved with val acc: 0.9196
Epoch 2, EMA ACC: 0.8883, Time: 331.99s
Epoch 3, EMA ACC: 0.9138, Time: 332.11s
Epoch 4, EMA ACC: 0.9120, Time: 331.99s
Epoch 5, EMA ACC: 0.9144, Time: 331.86s
Epoch 6, EMA ACC: 0.9178, Time: 331.48s
Epoch 7, EMA ACC: 0.9132, Time: 331.95s
Epoch 8, EMA ACC: 0.9126, Time: 331.87s
Epoch 9, EMA ACC: 0.9178, Time: 331.96s
Epoch 10, EMA ACC: 0.9184, Time: 332.07s
